date;IMOEX
26.02.2019;2494,02
27.02.2019;2490,65
28.02.2019;2485,27
01.03.2019;2478,01
04.03.2019;2473,79
05.03.2019;2466,23
06.03.2019;2494,04
07.03.2019;2476,64
11.03.2019;2465,94
12.03.2019;2468,25
13.03.2019;2470,61
14.03.2019;2457,79
15.03.2019;2476,73
18.03.2019;2483,7
19.03.2019;2493,28
20.03.2019;2504,23
21.03.2019;2507,81
22.03.2019;2492,7
25.03.2019;2497,59
26.03.2019;2512,63
27.03.2019;2487,48
28.03.2019;2492,4
29.03.2019;2497,1
01.04.2019;2521,25
02.04.2019;2527,77
03.04.2019;2532,32
04.04.2019;2535,5
05.04.2019;2540,99
08.04.2019;2560,07
09.04.2019;2570,28
10.04.2019;2578,58
11.04.2019;2551,45
12.04.2019;2559,72
15.04.2019;2545,12
16.04.2019;2559,84
17.04.2019;2568,26
18.04.2019;2560,8
19.04.2019;2563,9
22.04.2019;2584,74
23.04.2019;2587,48
24.04.2019;2579,05
25.04.2019;2560,94
26.04.2019;2563,72
29.04.2019;2569,83
30.04.2019;2559,32
02.05.2019;2575,22
03.05.2019;2580,95
06.05.2019;2579,75
07.05.2019;2565,1
08.05.2019;2544,43
10.05.2019;2514,87
13.05.2019;2508,87
14.05.2019;2562,33
15.05.2019;2554,49
16.05.2019;2581,11
17.05.2019;2577,48
20.05.2019;2571,65
21.05.2019;2616,53
22.05.2019;2638,71
23.05.2019;2618,61
24.05.2019;2619,24
27.05.2019;2632,95
28.05.2019;2609,78
29.05.2019;2641,15
30.05.2019;2659,52
31.05.2019;2665,33
03.06.2019;2729,93
04.06.2019;2706,29
05.06.2019;2701,84
06.06.2019;2728,25
07.06.2019;2729,61
10.06.2019;2742,59
11.06.2019;2751,75
13.06.2019;2758,36
14.06.2019;2739,28
17.06.2019;2734,31
18.06.2019;2761,69
19.06.2019;2759,12
20.06.2019;2780,2
21.06.2019;2761,23
24.06.2019;2762,65
25.06.2019;2753,96
26.06.2019;2775,14
27.06.2019;2779,66
28.06.2019;2765,85
01.07.2019;2801,47
02.07.2019;2809,81
03.07.2019;2823,95
04.07.2019;2842,78
05.07.2019;2835,35
08.07.2019;2822,55
09.07.2019;2822,66
10.07.2019;2822,75
11.07.2019;2789,66
12.07.2019;2777,58
15.07.2019;2756,44
16.07.2019;2755,88
17.07.2019;2713,17
18.07.2019;2702,59
19.07.2019;2700,57
22.07.2019;2684,25
23.07.2019;2701,06
24.07.2019;2682,91
25.07.2019;2701,02
26.07.2019;2715,68
29.07.2019;2728,27
30.07.2019;2734,68
31.07.2019;2739,5
01.08.2019;2729,42
02.08.2019;2674,9
05.08.2019;2649,16
06.08.2019;2683,35
07.08.2019;2674,98
08.08.2019;2696,69
09.08.2019;2679,71
12.08.2019;2689,93
13.08.2019;2680,12
14.08.2019;2637,04
